,Date,P1,P2,P3,P4,P5
0,2000-01-02,293.872,151.012,290.83099999999996,557.512,290.154
1,2000-02-01,286.93,143.51,228.878,493.884,249.21099999999998
2,2000-03-01,294.02099999999996,148.295,230.512,503.952,258.779
3,2000-04-01,298.596,151.439,233.238,509.45,264.069
4,2000-05-01,301.35900000000004,153.411,235.028,512.149,266.691
5,2000-06-01,303.233,154.66299999999998,236.24599999999998,513.235,268.131
6,2000-07-01,304.58799999999997,155.55100000000002,236.592,513.014,268.664
7,2000-08-01,305.67900000000003,156.221,236.84099999999998,512.538,269.03700000000003
8,2000-09-01,306.66200000000003,156.736,236.98,511.809,269.215
9,2000-10-01,307.508,157.127,236.918,511.319,269.42
10,2000-11-01,308.258,157.43200000000002,236.843,510.535,269.649
11,2000-12-01,308.908,157.658,236.747,509.70599999999996,269.79400000000004
12,2001-01-01,309.642,157.835,236.68,508.379,269.904
13,2001-02-01,318.618,164.263,254.19299999999998,513.331,272.29200000000003
14,2001-03-01,323.871,167.718,261.15,515.411,275.27099999999996
15,2001-04-01,329.959,170.06599999999997,265.051,492.88800000000003,277.77299999999997
16,2001-05-01,344.26,172.498,268.8,424.205,280.366
17,2001-06-01,372.577,175.25799999999998,271.509,397.901,284.637
18,2001-07-01,406.102,176.62400000000002,269.26,416.75800000000004,286.245
19,2001-08-01,432.86800000000005,183.43400000000003,279.736,436.13,277.108
20,2001-09-01,452.605,192.709,288.232,464.416,232.518
21,2001-10-01,466.435,203.199,273.95599999999996,494.49199999999996,216.27
22,2001-11-01,478.22900000000004,215.12400000000002,227.798,527.112,215.926
23,2001-12-01,473.589,227.416,218.857,562.915,222.08900000000003
24,2002-01-01,412.32099999999997,239.299,220.638,608.511,229.167
25,2002-02-01,361.755,249.76,227.868,656.9830000000001,237.127
26,2002-03-01,332.61699999999996,257.529,234.205,699.71,245.343
27,2002-04-01,315.725,263.519,240.892,742.1030000000001,253.25
28,2002-05-01,304.135,266.945,246.613,777.423,259.35900000000004
29,2002-06-01,297.49,268.147,251.611,806.929,265.086
30,2002-07-01,292.638,267.514,254.29,830.98,269.284
31,2002-08-01,299.77099999999996,274.231,271.525,877.493,275.507
32,2002-09-01,302.47700000000003,276.988,280.82599999999996,911.422,282.068
33,2002-10-01,301.59,275.14,285.927,935.18,287.17400000000004
34,2002-11-01,299.2,264.061,289.383,954.6510000000001,291.51
35,2002-12-01,297.741,239.56599999999997,293.35,971.128,301.541
36,2003-01-01,296.998,213.321,298.628,986.7760000000001,309.488
37,2003-02-01,297.17900000000003,192.207,303.597,1001.3,316.707
38,2003-03-01,297.11,178.227,307.425,1014.49,322.486
39,2003-04-01,299.937,167.96900000000002,312.288,1042.55,328.767
40,2003-05-01,300.07099999999997,161.029,316.221,1058.01,333.731
41,2003-06-01,300.499,155.27700000000002,319.058,1068.49,337.796
42,2003-07-01,301.39099999999996,150.803,320.903,1074.77,341.13599999999997
43,2003-08-01,301.995,146.70600000000002,322.32,1079.28,344.027
44,2003-09-01,302.184,143.139,323.524,1082.63,347.301
45,2003-10-01,301.83,140.455,324.628,1086.36,349.565
46,2003-11-01,286.005,129.66299999999998,287.742,1056.84,344.855
47,2003-12-01,277.205,122.801,275.375,1032.52,337.144
48,2004-01-01,253.56599999999997,116.412,262.755,932.217,329.245
49,2004-02-01,244.11599999999999,111.28299999999999,254.252,902.452,322.64799999999997
50,2004-03-01,239.80900000000003,107.932,249.993,890.7180000000001,318.612
51,2004-04-01,236.87099999999998,105.09899999999999,247.14700000000002,883.689,315.685
52,2004-05-01,232.50099999999998,101.54299999999999,239.226,873.6439999999999,312.988
53,2004-06-01,223.75799999999998,98.3094,233.498,838.095,309.796
54,2004-07-01,220.234,95.8781,230.324,827.505,307.309
55,2004-08-01,218.273,94.1112,228.43599999999998,822.725,305.538
56,2004-09-01,217.15900000000002,92.8788,227.417,820.414,304.535
57,2004-10-01,216.408,91.8614,226.705,819.007,303.925
58,2004-11-01,224.58700000000002,91.8333,229.62099999999998,859.622,305.339
59,2004-12-01,226.954,91.9977,232.19099999999997,869.673,306.987
60,2005-01-01,228.498,93.2085,234.655,875.493,318.055
61,2005-02-01,229.392,93.7678,236.483,879.393,322.533
62,2005-03-01,210.93900000000002,92.2728,230.715,791.538,320.762
63,2005-04-01,204.34799999999998,90.5865,225.101,766.069,317.603
64,2005-05-01,201.555,89.438,221.804,755.672,315.272
65,2005-06-01,200.19400000000002,88.6332,219.887,750.507,313.68
66,2005-07-01,199.548,88.0794,218.766,747.7230000000001,312.69599999999997
67,2005-08-01,199.248,87.73,218.05,745.9630000000001,312.05
68,2005-09-01,199.135,87.6223,217.56400000000002,744.7460000000001,311.73900000000003
69,2005-10-01,216.889,95.3341,258.884,779.212,318.945
70,2005-11-01,250.544,101.27600000000001,280.675,919.8689999999999,330.73
71,2005-12-01,265.11,106.694,298.069,961.059,343.18199999999996
